"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
"268245" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "O" "Edam" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Edam/XIX/c_/Winkelbedienden>" 1 "45130"
"268313" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "G" "Alkmaar." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/c_/Winkelbedienden>" 2 "45130"
"268381" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "G" "Hoorn" "XXXII" "C." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/C_/Winkelbedienden>" 1 "45130"
"268449" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "V" "O" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 8 "45130"
"268517" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "Velsen" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/XIX/c_/Winkelbedienden>" 2 "45130"
"268585" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Purmerend" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XIX/c_/Winkelbedienden>" 1 "45130"
"268653" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Purmerend" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XIX/f_/Winkelbedienden>" 1 "45130"
"268721" "Winkelbedienden" "C" "61
---
65

1828
  ---
1824" "M" "O" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 1 "45130"
"268789" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Nieuwer Amstel" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/h_/Winkelbedienden>" 3 "45130"
"268857" "Winkelbedienden" "C" "61
---
65

1828
  ---
1824" "M" "G" "X" "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/e_/Winkelbedienden>" 2 "45130"
"268925" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "III" "XIX" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/a_/Winkelbedienden>" 2 "45130"
"268993" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/f_/Winkelbedienden>" 2 "45130"
"269061" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "O" "X" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/h_/Winkelbedienden>" 1 "45130"
"269129" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "G" "Zaandam" "XIX" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/a_/Winkelbedienden>" 1 "45130"
"269197" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "Zaandam" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/c_/Winkelbedienden>" 1 "45130"
"269265" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "V" "O" "Hoorn" "XXXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/b_/Winkelbedienden>" 1 "45130"
"269333" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "V" "O" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 40 "45130"
"269401" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/c_/Winkelbedienden>" 4 "45130"
"269469" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "III" "XIX" "e" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/e/Winkelbedienden>" 1 "45130"
"269537" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Alkmaar." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/c_/Winkelbedienden>" 10 "45130"
"269605" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/e_/Winkelbedienden>" 3 "45130"
"269673" "Winkelbedienden" "C" "66
---
70

1823
---
1818" "M" "G" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 2 "45130"
"269741" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Hoorn" "XXXII" "C." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/C_/Winkelbedienden>" 6 "45130"
"269809" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "X" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/h_/Winkelbedienden>" 10 "45130"
"269877" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Zaandam" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/b_/Winkelbedienden>" 1 "45130"
"269945" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "Nieuwer Amstel" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/f_/Winkelbedienden>" 1 "45130"
"270013" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "M" "O" "X" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/h_/Winkelbedienden>" 10 "45130"
"270081" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Alkmaar." "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/b_/Winkelbedienden>" 9 "45130"
"270149" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "III" "XIX" "c" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/c/Winkelbedienden>" 8 "45130"
"270217" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Purmerend" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XIX/b_/Winkelbedienden>" 1 "45130"
"270285" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Nieuwer Amstel" "XIX" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/a_/Winkelbedienden>" 2 "45130"
"270353" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "Zaandam" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/b_/Winkelbedienden>" 3 "45130"
"270421" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "G" "X" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/f_/Winkelbedienden>" 3 "45130"
"270489" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "X" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/h_/Winkelbedienden>" 20 "45130"
"270557" "Winkelbedienden" "C" "13


1876" "V" "O" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 1 "45130"
"270625" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Zaandam" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/c_/Winkelbedienden>" 2 "45130"
"270693" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "G" "X" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/f_/Winkelbedienden>" 30 "45130"
"270761" "Winkelbedienden" "C" "13


1876" "M" "O" "Zaandam" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/c_/Winkelbedienden>" 2 "45130"
"270829" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "O" "Nieuwer Amstel" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/c_/Winkelbedienden>" 2 "45130"
"270897" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "G" "Hoorn" "XXXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/b_/Winkelbedienden>" 2 "45130"
"270965" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "V" "O" "Alkmaar." "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/b_/Winkelbedienden>" 7 "45130"
"271033" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "O" "X" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/f_/Winkelbedienden>" 2 "45130"
"271101" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "V" "O" "Alkmaar." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/c_/Winkelbedienden>" 1 "45130"
"271169" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "V" "G" "X" "XIX" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/d_/Winkelbedienden>" 1 "45130"
"271237" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "G" "Alkmaar." "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/f_/Winkelbedienden>" 1 "45130"
"271305" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "M" "O" "Alkmaar." "XIX" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/d_/Winkelbedienden>" 1 "45130"
"271373" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "M" "O" "Alkmaar." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/c_/Winkelbedienden>" 6 "45130"
"271441" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "III" "XIX" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/d_/Winkelbedienden>" 1 "45130"
"271509" "Winkelbedienden" "C" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/c_/Winkelbedienden>" 1 "45130"
"271577" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "M" "O" "Haarlemmermeer" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlemmermeer/XIX/b_/Winkelbedienden>" 1 "45130"
"271645" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "V" "O" "X" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/c_/Winkelbedienden>" 10 "45130"
"271713" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Hilversum" "XIX" "C." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/XIX/C_/Winkelbedienden>" 2 "45130"
"271781" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "V" "O" "Haarlem." "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/b_/Winkelbedienden>" 10 "45130"
"271849" "Winkelbedienden" "C" "13


1876" "M" "O" "Alkmaar." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/c_/Winkelbedienden>" 1 "45130"
"271917" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "V" "O" "Hilversum" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/XIX/b_/Winkelbedienden>" 2 "45130"
"271985" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Haarlem." "XIX" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/a_/Winkelbedienden>" 1 "45130"
"272053" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Hilversum" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/XIX/h_/Winkelbedienden>" 1 "45130"
"272121" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "V" "O" "Haarlem." "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/b_/Winkelbedienden>" 10 "45130"
"272189" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "V" "O" "Nieuwer Amstel" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/c_/Winkelbedienden>" 2 "45130"
"272257" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Haarlem." "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/e_/Winkelbedienden>" 3 "45130"
"272325" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "G" "Enkhuizen" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XIX/b_/Winkelbedienden>" 1 "45130"
"272393" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "X" "XIX" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/d_/Winkelbedienden>" 10 "45130"
"272461" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "M" "O" "Nieuwer Amstel" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/c_/Winkelbedienden>" 4 "45130"
"272529" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "O" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 40 "45130"
"272597" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "V" "O" "Haarlem." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/c_/Winkelbedienden>" 3 "45130"
"272665" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Nieuwer Amstel" "XIX" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/d_/Winkelbedienden>" 2 "45130"
"272733" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "V" "O" "Alkmaar." "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/f_/Winkelbedienden>" 1 "45130"
"272801" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "V" "O" "Purmerend" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Purmerend/XIX/b_/Winkelbedienden>" 1 "45130"
"272869" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "X" "XIX" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/a_/Winkelbedienden>" 1 "45130"
"272937" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "V" "O" "Haarlem." "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/h_/Winkelbedienden>" 1 "45130"
"273005" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "M" "O" "Enkhuizen" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XIX/b_/Winkelbedienden>" 2 "45130"
"273073" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "V" "O" "Haarlem." "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/b_/Winkelbedienden>" 20 "45130"
"273141" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "V" "O" "X" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/c_/Winkelbedienden>" 2 "45130"
"273209" "Winkelbedienden" "C" "71
en
daarboven

1818
en
vroeger" "M" "O" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 1 "45130"
"273277" "Winkelbedienden" "C" "13


1876" "V" "O" "X" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/f_/Winkelbedienden>" 1 "45130"
"273345" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "V" "O" "III" "XIX" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/a_/Winkelbedienden>" 1 "45130"
"273413" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "G" "X" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/c_/Winkelbedienden>" 60 "45130"
"273481" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Hoorn" "XXXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/b_/Winkelbedienden>" 5 "45130"
"273549" "Winkelbedienden" "C" "Geboortejaren.  leeftijd in j." "M" "O" "X" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/c_/Winkelbedienden>" 1 "45130"
"273617" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "G" "X" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/b_/Winkelbedienden>" 70 "45130"
"273685" "Winkelbedienden" "C" "16
---
17

1873
  ---
1872" "V" "O" "Hilversum" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/XIX/b_/Winkelbedienden>" 1 "45130"
"273753" "Winkelbedienden" "C" "14
---
15

1875
  ---
1874" "V" "O" "Hilversum" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hilversum/XIX/f_/Winkelbedienden>" 1 "45130"
"273821" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "G" "III" "XIX" "c" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/c/Winkelbedienden>" 1 "45130"
"273889" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "V" "O" "X" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/h_/Winkelbedienden>" 6 "45130"
"273957" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/b_/Winkelbedienden>" 7 "45130"
"274025" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Nieuwer Amstel" "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/e_/Winkelbedienden>" 3 "45130"
"274093" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/h_/Winkelbedienden>" 4 "45130"
"274161" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "X" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/c_/Winkelbedienden>" 90 "45130"
"274229" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "V" "O" "III" "XIX" "c" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/c/Winkelbedienden>" 1 "45130"
"274297" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "O" "Alkmaar." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/c_/Winkelbedienden>" 1 "45130"
"274365" "Winkelbedienden" "C" "61
---
65

1828
  ---
1824" "V" "O" "X" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/c_/Winkelbedienden>" 2 "45130"
"274433" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "Sloten" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Sloten/XIX/c_/Winkelbedienden>" 1 "45130"
"274501" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "X" "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/e_/Winkelbedienden>" 10 "45130"
"274569" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "G" "Hoorn" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XIX/h_/Winkelbedienden>" 1 "45130"
"274637" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "M" "O" "X" "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/f_/Winkelbedienden>" 50 "45130"
"274705" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "V" "O" "III" "XIX" "f" "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/III/XIX/f/Winkelbedienden>" 1 "45130"
"274773" "Winkelbedienden" "C" "25
---
35

1864
  ---
1854" "V" "O" "Hoorn" "XXXII" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/b_/Winkelbedienden>" 3 "45130"
"274841" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "O" "X" "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/e_/Winkelbedienden>" 5 "45130"
"274909" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Zaandam" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/b_/Winkelbedienden>" 4 "45130"
"274977" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Zaandam" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Zaandam/XIX/c_/Winkelbedienden>" 9 "45130"
"275045" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Enkhuizen" "XIX" "b." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XIX/b_/Winkelbedienden>" 1 "45130"
"275113" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Nieuwer Amstel" "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/XIX/c_/Winkelbedienden>" 10 "45130"
"275181" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Alkmaar." "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/f_/Winkelbedienden>" 1 "45130"
"275249" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Alkmaar." "XIX" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Alkmaar_/XIX/d_/Winkelbedienden>" 1 "45130"
"275317" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Haarlem." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/c_/Winkelbedienden>" 20 "45130"
"275385" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Haarlem." "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/h_/Winkelbedienden>" 5 "45130"
"275453" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "XIX" "c." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/c_/Winkelbedienden>" 6 "45130"
"275521" "Winkelbedienden" "C" "51
---
60

1838
  ---
1829" "M" "G" "Hoorn" "XXXII" "C." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Hoorn/XXXII/C_/Winkelbedienden>" 5 "45130"
"275589" "Winkelbedienden" "C" "13


1876" "V" "O" "X" "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/X/XIX/h_/Winkelbedienden>" 1 "45130"
"275657" "Winkelbedienden" "C" "23
---
24

1866
  ---
1865" "M" "O" "Haarlem." "XIX" "h." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/h_/Winkelbedienden>" 2 "45130"
"275725" "Winkelbedienden" "C" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "XIX" "f." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/XIX/f_/Winkelbedienden>" 2 "45130"
"275793" "Winkelbedienden" "C" "18
---
22

1871
  ---
1867" "M" "O" "Enkhuizen" "XIX" "e." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Enkhuizen/XIX/e_/Winkelbedienden>" 1 "45130"
"275861" "Winkelbedienden" "C" "14
---
15

1875
  ---
